Invoice ID;Branch;City;Customer type;Gender;Product line;Unit price;Quantity;Tax 5%;Total;Date;Time;Payment;cogs;gross margin percentage;gross income;Rating
549-59-1358;A;Yangon;Member;Male;Sports and travel;88.63;3;13.2945;279.1845;03/02/2019;17:36:00;Ewallet;265.89;4.761904762;13.2945;6.0
594-34-4444;A;Yangon;Normal;Male;Electronic accessories;97.16;1;4.858;102.018;03/08/2019;20:38:00;Ewallet;97.16;4.761904762;4.858;7.2
575-30-8091;A;Yangon;Normal;Male;Sports and travel;72.5;8;29.0;609.0;03/16/2019;19:25:00;Ewallet;580.0;4.761904762;29.0;9.2
407-63-8975;A;Yangon;Normal;Male;Food and beverages;73.88;6;22.164;465.444;03/23/2019;19:16:00;Ewallet;443.28;4.761904762;22.164;4.4
157-13-5295;A;Yangon;Member;Male;Health and beauty;51.94;10;25.97;545.37;03/09/2019;18:24:00;Ewallet;519.4;4.761904762;25.97;6.5
411-77-0180;A;Yangon;Member;Male;Electronic accessories;72.2;7;25.27;530.67;03/26/2019;20:14:00;Ewallet;505.4;4.761904762;25.27;4.3
696-90-2548;A;Yangon;Normal;Male;Sports and travel;25.84;3;3.876;81.396;03/10/2019;18:55:00;Ewallet;77.52;4.761904762;3.876;6.6
568-88-3448;A;Yangon;Normal;Male;Health and beauty;25.0;1;1.25;26.25;03/03/2019;15:09:00;Ewallet;25.0;4.761904762;1.25;5.5
220-28-1851;A;Yangon;Normal;Male;Home and lifestyle;34.73;2;3.473;72.933;03/01/2019;18:14:00;Ewallet;69.46;4.761904762;3.473;9.7
760-90-2357;A;Yangon;Member;Male;Electronic accessories;74.51;6;22.353;469.413;03/20/2019;15:08:00;Ewallet;447.06;4.761904762;22.353;5.0
816-57-2053;A;Yangon;Normal;Male;Sports and travel;60.87;2;6.087;127.827;03/09/2019;12:37:00;Ewallet;121.74;4.761904762;6.087;8.7
880-46-5796;A;Yangon;Member;Male;Sports and travel;76.92;10;38.46;807.66;03/17/2019;19:53:00;Ewallet;769.2;4.761904762;38.46;5.6
745-74-0715;A;Yangon;Normal;Male;Electronic accessories;58.03;2;5.803;121.863;03/10/2019;20:46:00;Ewallet;116.06;4.761904762;5.803;8.8
721-86-6247;A;Yangon;Normal;Female;Home and lifestyle;63.42;8;25.368;532.728;03/11/2019;12:55:00;Ewallet;507.36;4.761904762;25.368;7.4
512-98-1403;A;Yangon;Member;Female;Electronic accessories;26.48;3;3.972;83.412;03/21/2019;10:40:00;Ewallet;79.44;4.761904762;3.972;4.7
316-01-3952;A;Yangon;Normal;Female;Food and beverages;54.27;5;13.5675;284.9175;03/13/2019;14:16:00;Ewallet;271.35;4.761904762;13.5675;4.6
325-77-6186;A;Yangon;Member;Female;Home and lifestyle;90.65;10;45.325;951.825;03/08/2019;10:53:00;Ewallet;906.5;4.761904762;45.325;7.3
892-05-6689;A;Yangon;Normal;Female;Home and lifestyle;28.32;5;7.08;148.68;03/11/2019;13:28:00;Ewallet;141.6;4.761904762;7.08;6.2
334-64-2006;A;Yangon;Member;Female;Home and lifestyle;70.32;2;7.032;147.672;03/24/2019;14:22:00;Ewallet;140.64;4.761904762;7.032;9.6
857-16-3520;A;Yangon;Member;Female;Fashion accessories;71.46;7;25.011;525.231;03/28/2019;16:06:00;Ewallet;500.22;4.761904762;25.011;4.5
587-73-4862;A;Yangon;Member;Female;Health and beauty;10.69;5;2.6725;56.1225;03/26/2019;11:07:00;Ewallet;53.45;4.761904762;2.6725;7.6
884-80-6021;A;Yangon;Member;Female;Electronic accessories;73.47;10;36.735;771.435;03/23/2019;13:14:00;Ewallet;734.7;4.761904762;36.735;9.5
558-60-5016;A;Yangon;Normal;Female;Home and lifestyle;33.3;9;14.985;314.685;03/04/2019;15:27:00;Ewallet;299.7;4.761904762;14.985;7.2
319-50-3348;B;Mandalay;Normal;Female;Home and lifestyle;40.3;2;4.03;84.63;03/11/2019;15:30:00;Ewallet;80.6;4.761904762;4.03;4.4
616-24-2851;B;Mandalay;Member;Female;Fashion accessories;17.87;4;3.574;75.054;03/22/2019;14:42:00;Ewallet;71.48;4.761904762;3.574;6.5
510-95-6347;B;Mandalay;Member;Female;Food and beverages;48.52;3;7.278;152.838;03/05/2019;18:17:00;Ewallet;145.56;4.761904762;7.278;4.0
291-32-1427;B;Mandalay;Member;Male;Fashion accessories;21.94;5;5.485;115.185;03/05/2019;12:29:00;Ewallet;109.7;4.761904762;5.485;5.3
307-85-2293;B;Mandalay;Normal;Male;Home and lifestyle;50.28;5;12.57;263.97;03/07/2019;13:58:00;Ewallet;251.4;4.761904762;12.57;9.7
423-57-2993;B;Mandalay;Normal;Male;Sports and travel;93.39;6;28.017;588.357;03/27/2019;19:18:00;Ewallet;560.34;4.761904762;28.017;10.0
305-14-0245;B;Mandalay;Member;Female;Home and lifestyle;94.49;8;37.796;793.716;03/03/2019;19:00:00;Ewallet;755.92;4.761904762;37.796;7.5
142-63-6033;B;Mandalay;Normal;Male;Home and lifestyle;92.36;5;23.09;484.89;03/20/2019;19:17:00;Ewallet;461.8;4.761904762;23.09;4.9
783-09-1637;B;Mandalay;Normal;Female;Sports and travel;67.43;5;16.8575;354.0075;03/06/2019;18:13:00;Ewallet;337.15;4.761904762;16.8575;6.3
276-54-0879;B;Mandalay;Normal;Male;Sports and travel;97.74;4;19.548;410.508;03/12/2019;19:53:00;Ewallet;390.96;4.761904762;19.548;6.4
453-63-6187;B;Mandalay;Normal;Male;Electronic accessories;27.5;3;4.125;86.625;03/01/2019;15:40:00;Ewallet;82.5;4.761904762;4.125;6.5
438-01-4015;B;Mandalay;Member;Female;Sports and travel;49.49;4;9.898;207.858;03/21/2019;15:25:00;Ewallet;197.96;4.761904762;9.898;6.6
608-04-3797;B;Mandalay;Member;Female;Health and beauty;25.32;8;10.128;212.688;03/05/2019;20:24:00;Ewallet;202.56;4.761904762;10.128;8.7
701-23-5550;B;Mandalay;Member;Male;Home and lifestyle;38.81;4;7.762;163.002;03/19/2019;13:40:00;Ewallet;155.24;4.761904762;7.762;4.9
207-73-1363;B;Mandalay;Normal;Male;Health and beauty;69.51;2;6.951;145.971;03/01/2019;12:15:00;Ewallet;139.02;4.761904762;6.951;8.1
420-04-7590;B;Mandalay;Normal;Male;Home and lifestyle;99.7;3;14.955;314.055;03/18/2019;11:29:00;Ewallet;299.1;4.761904762;14.955;4.7
149-15-7606;B;Mandalay;Member;Male;Sports and travel;37.32;9;16.794;352.674;03/06/2019;15:31:00;Ewallet;335.88;4.761904762;16.794;5.1
238-45-6950;B;Mandalay;Member;Male;Food and beverages;53.72;1;2.686;56.406;03/01/2019;20:03:00;Ewallet;53.72;4.761904762;2.686;6.4
593-14-4239;B;Mandalay;Normal;Female;Home and lifestyle;95.46;8;38.184;801.864;03/05/2019;19:40:00;Ewallet;763.68;4.761904762;38.184;4.7
565-91-4567;B;Mandalay;Normal;Male;Health and beauty;10.75;8;4.3;90.3;03/15/2019;14:38:00;Ewallet;86.0;4.761904762;4.3;6.2
366-43-6862;B;Mandalay;Normal;Male;Electronic accessories;52.89;4;10.578;222.138;03/25/2019;16:32:00;Ewallet;211.56;4.761904762;10.578;6.7
636-98-3364;B;Mandalay;Member;Female;Electronic accessories;26.26;3;3.939;82.719;03/02/2019;12:36:00;Ewallet;78.78;4.761904762;3.939;6.3
641-62-7288;B;Mandalay;Normal;Male;Home and lifestyle;99.92;6;29.976;629.496;03/24/2019;13:33:00;Ewallet;599.52;4.761904762;29.976;7.1
699-14-3026;C;Naypyitaw;Normal;Male;Electronic accessories;85.39;7;29.8865;627.6165;03/25/2019;18:30:00;Ewallet;597.73;4.761904762;29.8865;4.1
574-22-5561;C;Naypyitaw;Member;Female;Fashion accessories;82.63;10;41.315;867.615;03/19/2019;17:08:00;Ewallet;826.3;4.761904762;41.315;7.9
730-50-9884;C;Naypyitaw;Normal;Female;Sports and travel;83.06;7;29.071;610.491;03/05/2019;14:31:00;Ewallet;581.42;4.761904762;29.071;4.0
263-87-5680;C;Naypyitaw;Member;Female;Home and lifestyle;28.53;10;14.265;299.565;03/18/2019;17:38:00;Ewallet;285.3;4.761904762;14.265;7.8
558-80-4082;C;Naypyitaw;Normal;Male;Electronic accessories;27.85;7;9.7475;204.6975;03/14/2019;17:20:00;Ewallet;194.95;4.761904762;9.7475;6.0
471-41-2823;C;Naypyitaw;Normal;Male;Food and beverages;99.79;2;9.979;209.559;03/07/2019;20:37:00;Ewallet;199.58;4.761904762;9.979;8.0
153-58-4872;C;Naypyitaw;Member;Female;Food and beverages;74.89;4;14.978;314.538;03/01/2019;15:32:00;Ewallet;299.56;4.761904762;14.978;4.2
574-57-9721;C;Naypyitaw;Normal;Male;Food and beverages;43.27;2;4.327;90.867;03/08/2019;16:53:00;Ewallet;86.54;4.761904762;4.327;5.7
549-96-4200;C;Naypyitaw;Member;Male;Food and beverages;17.04;4;3.408;71.568;03/08/2019;20:15:00;Ewallet;68.16;4.761904762;3.408;7.0
413-20-6708;C;Naypyitaw;Member;Female;Fashion accessories;51.47;1;2.5735;54.0435;03/18/2019;15:52:00;Ewallet;51.47;4.761904762;2.5735;8.5
408-26-9866;C;Naypyitaw;Normal;Female;Sports and travel;73.98;7;25.893;543.753;03/02/2019;16:42:00;Ewallet;517.86;4.761904762;25.893;4.1
840-19-2096;C;Naypyitaw;Member;Male;Electronic accessories;87.91;5;21.9775;461.5275;03/14/2019;18:10:00;Ewallet;439.55;4.761904762;21.9775;4.4
266-20-6657;C;Naypyitaw;Member;Male;Food and beverages;55.04;7;19.264;404.544;03/12/2019;19:39:00;Ewallet;385.28;4.761904762;19.264;5.2
210-74-9613;C;Naypyitaw;Normal;Male;Fashion accessories;97.26;4;19.452;408.492;03/16/2019;15:33:00;Ewallet;389.04;4.761904762;19.452;6.8
474-33-8305;C;Naypyitaw;Member;Male;Fashion accessories;67.39;7;23.5865;495.3165;03/23/2019;13:23:00;Ewallet;471.73;4.761904762;23.5865;6.9
154-87-7367;C;Naypyitaw;Normal;Male;Home and lifestyle;65.26;8;26.104;548.184;03/15/2019;14:04:00;Ewallet;522.08;4.761904762;26.104;6.3
457-12-0244;C;Naypyitaw;Member;Female;Sports and travel;35.22;6;10.566;221.886;03/14/2019;13:49:00;Ewallet;211.32;4.761904762;10.566;6.5
267-62-7380;C;Naypyitaw;Member;Male;Electronic accessories;82.34;10;41.17;864.57;03/29/2019;19:12:00;Ewallet;823.4;4.761904762;41.17;4.3
848-62-7243;A;Yangon;Normal;Male;Health and beauty;24.89;9;11.2005;235.2105;03/15/2019;15:36:00;Cash;224.01;4.761904762;11.2005;7.4
877-22-3308;A;Yangon;Member;Male;Health and beauty;15.87;10;7.935;166.635;03/13/2019;16:40:00;Cash;158.7;4.761904762;7.935;5.8
630-74-5166;A;Yangon;Normal;Male;Sports and travel;62.13;6;18.639;391.419;03/22/2019;20:19:00;Cash;372.78;4.761904762;18.639;7.4
213-72-6612;A;Yangon;Normal;Male;Food and beverages;43.25;2;4.325;90.825;03/20/2019;15:56:00;Cash;86.5;4.761904762;4.325;6.2
